Location,Price_Raw,SqFt_Raw,Age_Years
"3 BHK Apartment for Sale in SIGNATURE GLOBAL PARK I EXT, Sector 36 Sohna Gurgaon","₹
1.92 Cr",1550 sqft,5
"3 BHK Apartment for Sale in Central Park Aqua Front Towers, Sector 32 Sohna Gurgaon","₹
2.57 Cr",1789 sqft,5
"3 BHK Apartment for Sale in Ashiana Aaroham, Sector 80 Gurgaon","₹
3.46 Cr",1223 sqft,5
"3 BHK Builder Floor for Sale in Signature Global Daxin Vistas, Sohna Gurgaon","₹
2.20 Cr",1550 sqft,5
"3 BHK Apartment for Sale in M3M Mansion, Sector 113 Gurgaon","₹
4.64 Cr",2316 sqft,5
"3 BHK Apartment for Sale in BPTP Amstoria Verti Greens, Sector 102 Gurgaon","₹
4.31 Cr",2400 sqft,5
"3 BHK Builder Floor for Sale in MRG Crown, Sector 106 Gurgaon","₹
2.67 Cr",1503 sqft,5
"3 BHK Apartment for Sale in M3M Forestia West I, Manesar Gurgaon","₹
2.35 Cr",1910 sqft,5
"3 BHK Apartment for Sale in M3M Golf Hills Phase 1, Sector 79 Gurgaon","₹
3.56 Cr",1902 sqft,5
"2 BHK Apartment for Sale in Ireo The Corridors, Sector 67A Gurgaon","₹
2.20 Cr",1296 sqft,5
"3 BHK Apartment for Sale in Godrej Miraya, Sector 43 Gurgaon","₹
9.48 Cr",2711 sqft,5
"3 BHK Builder Floor for Sale in Signature Global City 93, Sector 93 Gurgaon","₹
2.05 Cr",1070 sqft,5
"3 BHK Apartment for Sale in M3M Forestia West I, Manesar Gurgaon","₹
2.35 Cr",1910 sqft,5
"3 BHK Apartment for Sale in Ashiana Amarah, Sector 93 Gurgaon","₹
2.14 Cr",1000 sqft,5
"3 BHK Apartment for Sale in BPTP GAIA Residences, Sector 102 Gurgaon","₹
3.70 Cr",2060 sqft,5
"3 BHK Apartment for Sale in Meffier Garden Residency, Sector 5 Sohna Gurgaon","₹
1.80 Cr",1610 sqft,5
"3 BHK Apartment for Sale in Ashiana Aaroham, Sector 80 Gurgaon","₹
2.99 Cr",1057 sqft,5
"3 BHK Apartment for Sale in Puri Diplomatic Residences, Sector 111 Gurgaon","₹
4.74 Cr",2440 sqft,5
"3 BHK Apartment for Sale in Whiteland Urban Resort, Sector 103 Gurgaon","₹
6.43 Cr",2809 sqft,5
"2 BHK Apartment for Sale in Ireo The Corridors, Sector 67A Gurgaon","₹
2.20 Cr",1296 sqft,5
"3 BHK Builder Floor for Sale in Luxury Floors Gurgaon, Sushant Lok Gurgaon","₹
2.75 Cr",1775 sqft,5
"3 BHK Apartment for Sale in M3M Capital, Sector 113 Gurgaon","₹
2.75 Cr",1695 sqft,5
"3 BHK Apartment for Sale in Signature Global Cloverdale SPR, Sector 71 Gurgaon","₹
4.21 Cr",2280 sqft,5
"3 BHK Apartment for Sale in Experion Windchants, Sector 112 Gurgaon","₹
6.26 Cr",3500 sqft,5
"3 BHK Apartment for Sale in The Select Premia, Sector 77, Delhi Gurgaon Expressway Gurgaon","₹
2.95 Cr",2231 sqft,5
"3 BHK Apartment for Sale in Emaar Serenity Hills, Sector 86 Gurgaon","₹
3.88 Cr",1219 sqft,5
"3 BHK Apartment for Sale in Lorven Ashiana Mulberry, Sector 2 Sohna Gurgaon","₹
1.75 Cr",1730 sqft,5
"3 BHK Apartment for Sale in Emaar Serenity Hills, Sector 86 Gurgaon","₹
3.88 Cr",1219 sqft,5
"3 BHK Apartment for Sale in Ireo The Corridors, Sector 67A Gurgaon","₹
2.93 Cr",1727 sqft,5
"3 BHK Apartment for Sale in Indiabulls Estate and Club, Sector 104 Gurgaon","₹
5 Cr",1328 sqft,5
"3 BHK Apartment for Sale in Signature Global Sarvam at DXP Estate, Sector 37D, Delhi Gurgaon Expressway Gurgaon","₹
3.62 Cr",2340 sqft,5
"3 BHK Apartment for Sale in Ashiana Mulberry Phase 4, Sector 2 Sohna Gurgaon","₹
2.91 Cr",2300 sqft,5
"3 BHK Apartment for Sale in Ashiana Amarah, Sector 93 Gurgaon","₹
2.14 Cr",1000 sqft,5
"3 BHK Apartment for Sale in Godrej Meridien, Sector 106 Gurgaon","₹
2.91 Cr",1120 sqft,5
"3 BHK Apartment for Sale in Suncity Monarch Residences, Sector 78 Gurgaon","₹
3.76 Cr",1333 sqft,5
"2 BHK Builder Floor for Sale in Paras Floret, Sector 59 Gurgaon","₹
2.32 Cr",1221 sqft,5
"3 BHK Apartment for Sale in Lorven Ashiana Mulberry, Sector 2 Sohna Gurgaon","₹
1.75 Cr",1730 sqft,5
"3 BHK Apartment for Sale in Emaar Amaris, Sector 62 Gurgaon","₹
4.51 Cr",2150 sqft,5
"3 BHK Apartment for Sale in Signature Global Sarvam at DXP Estate, Sector 37D, Delhi Gurgaon Expressway Gurgaon","₹
3.62 Cr",2340 sqft,5
"3 BHK Apartment for Sale in Chintels Serenity, Sector 109 Gurgaon","₹
3.57 Cr",1132 sqft,5
"3 BHK Builder Floor for Sale in ROF Pravasa, Sector 88A Gurgaon","₹
2.55 Cr",1400 sqft,5
"3 BHK Apartment for Sale in Smartworld The Edition, Sector 66 Gurgaon","₹
5.28 Cr",2938 sqft,5
"3 BHK Apartment for Sale in Signature Global Sarvam at DXP Estate, Sector 37D, Delhi Gurgaon Expressway Gurgaon","₹
3.62 Cr",2340 sqft,5
"3 BHK Builder Floor for Sale in M3M Antalya Hills Phase I, Sector 79 Gurgaon","₹
2.35 Cr",1547 sqft,5
"3 BHK Apartment for Sale in Godrej Sora, Sector 53 Gurgaon","₹
8.31 Cr",2771 sqft,5
"3 BHK Apartment for Sale in ATS Tourmaline, Sector 109 Gurgaon","₹
2.74 Cr",2150 sqft,5
"3 BHK Apartment for Sale in Conscient Elaira Residences Phase 1, Sector 80 Gurgaon","₹
3.65 Cr",2695 sqft,5
"3 BHK Apartment for Sale in Signature Global Sarvam at DXP Estate, Sector 37D, Delhi Gurgaon Expressway Gurgaon","₹
3.62 Cr",2340 sqft,5
"3 BHK Apartment for Sale in Whiteland Urban Resort, Sector 103 Gurgaon","₹
6.53 Cr",2537 sqft,5
"3 BHK Apartment for Sale in HCBS Twin Horizon, Sector 102 Gurgaon","₹
5.17 Cr",3000 sqft,5
"3 BHK Apartment for Sale in Ashiana Mulberry Phase 4, Sector 2 Sohna Gurgaon","₹
2.33 Cr",1850 sqft,5
"3 BHK Apartment for Sale in Krisumi Waterside Residences, Sector 36A Gurgaon","₹
6.48 Cr",2700 sqft,5
"3 BHK Apartment for Sale in Chintels Serenity, Sector 109 Gurgaon","₹
3.74 Cr",2100 sqft,5
"3 BHK Apartment for Sale in Meffier Garden Residency, Sector 5 Sohna Gurgaon","₹
1.80 Cr",1610 sqft,5
"3 BHK Apartment for Sale in M2K Olive Green Floors, Sector 104 Gurgaon","₹
1.61 Cr",745 sqft,5
"3 BHK Apartment for Sale in TARC Ishva, Sector 63A Gurgaon","₹
7.70 Cr",1588 sqft,5
"3 BHK Builder Floor for Sale in Paras Floret, Sector 59 Gurgaon","₹
3.23 Cr",1750 sqft,5
"3 BHK Apartment for Sale in Conscient Elevate, Sector 59 Gurgaon","₹
6.30 Cr",1432 sqft,5
3 BHK Builder Floor for Sale in Phase 2 DLF Gurgaon,"₹
3.75 Cr",1600 sqft,5
"3 BHK Builder Floor for Sale in Sushant Lok-I, Sector 43 Gurgaon","₹
3.25 Cr",1500 sqft,5
"3 BHK Builder Floor for Sale in All Punjabi Welfare Association, Sector 23 Gurgaon","₹
2.70 Cr",1650 sqft,5
3 BHK Builder Floor for Sale in South City 2 Gurgaon,"₹
2.39 Cr",1380 sqft,5
3 BHK Builder Floor for Sale in South City 1 Gurgaon,"₹
3.80 Cr",1850 sqft,5
"3 BHK Apartment for Sale in Signature Global Sarvam at DXP Estate, Sector 37D, Delhi Gurgaon Expressway Gurgaon","₹
3.30 Cr",2260 sqft,5
"3 BHK Apartment for Sale in Tulip Monsella, Sector 53 Gurgaon","₹
11.62 Cr",1646 sqft,5
"3 BHK Apartment for Sale in Emaar Emrald Floors Select, Sector 65 Gurgaon","₹
2.90 Cr",1010 sqft,5
"3 BHK Apartment for Sale in TARC Ishva, Sector 63A Gurgaon","₹
6.51 Cr",2945 sqft,5
