85,1550,6,19700000
79,1547,13,23500000
88,3525,1,116500000
84,2380,1,46200000
89,3700,7,98800000
82,1503,11,26700000
69,1159,11,50199999
71,1219,12,38800000
86,1333,12,37600000
76,1725,15,18100000
78,1578,9,20200000
90,2939,1,75700000
85,1550,15,19700000
65,3090,3,61800000
83,1449,10,55000000
66,2060,12,37000000
73,1800,2,29700000
87,1446,13,48099999
68,1132,13,35700000
86,1333,5,37600000
72,2844,2,56800000
75,2500,6,40000000
81,2365,3,44300000
70,2282,6,79300000
74,2771,13,83100000
3,1629,9,37600000
80,1910,15,23500000
77,1328,10,50000000
67,1405,8,31100000
76,1790,13,18700000
60,1070,9,20500000
21,1219,10,38800000
34,3900,9,93500000
1,1296,8,22000000
16,2695,13,36500000
41,1550,2,19700000
18,1347,14,47699999
14,4281,1,113500000
48,2225,15,32599999
10,1503,12,19300000
6,1019,13,26700000
42,2340,10,36200000
44,2690,11,53300000
0,817,14,21500000
28,1852,10,31500000
5,3090,9,61800000
57,1750,2,33200000
39,1550,1,19200000
43,2780,13,47200000
51,2874,7,99000000
49,1446,12,48099999
1,1484,8,25200000
7,1259,3,33800000
39,1550,6,19200000
13,1789,4,25700000
7,1223,15,34600000
61,1550,2,22000000
36,2316,10,46400000
11,2400,1,43099999
56,1503,15,26700000
33,1910,10,23500000
35,1902,11,35600000
1,1296,12,22000000
24,2711,4,94800000
60,1070,6,20500000
33,1910,9,23500000
8,1000,3,21400000
12,2060,1,37000000
37,1610,15,18000000
7,1057,11,29900000
38,2440,14,47400000
52,2809,15,64300000
1,1296,12,22000000
54,1775,8,27500000
32,1695,8,27500000
40,2280,5,42100000
22,3500,8,62600000
50,2231,2,29500000
21,1219,9,38800000
30,1730,15,17500000
21,1219,12,38800000
28,1727,9,29300000
27,1328,8,50000000
42,2340,14,36200000
9,2300,2,29100000
8,1000,10,21400000
23,1120,8,29100000
46,1333,4,37600000
2,1221,7,23200000
30,1730,15,17500000
19,2150,10,45100000
42,2340,12,36200000
15,1132,9,35700000
59,1400,8,25500000
45,2938,7,52800000
42,2340,1,36200000
55,1547,15,23500000
25,2771,8,83100000
4,2150,7,27400000
16,2695,8,36500000
42,2340,3,36200000
52,2537,11,65300000
26,3000,11,51700000
9,1850,15,23300000
29,2700,7,64800000
15,2100,15,37400000
37,1610,14,18000000
31,745,13,16100000
47,1588,3,77000000
57,1750,15,32300000
17,1432,11,63000000
58,1600,1,37500000
64,1500,2,32500000
53,1650,6,27000000
63,1380,14,23900000
62,1850,14,38000000
42,2260,3,33000000
51,1646,7,116199999
20,1010,8,29000000
47,2945,10,65100000
